member_guid,subscription_id,subscription_start_wk,geo,market_area,market_segment,purchase_source,promo_regular,cc_segment,subscription_offerings,subscription_type,entitlement_period,twp_flag,subscription_tenure,member_classification,category,product,visited_website,active_flag
71,1071,2019-22,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - Single App - Illustrator,IN,MONTHLY,Trial_Purchase,608,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
72,1072,2020-07,EMEA,IBE,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Trial_Purchase,347,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
73,1073,2021-02,EMEA,EE,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Trial_Purchase,20,NEW - FIRST SUBSCRIPTION,MOBILE,PREMIERE RUSH MOBILE,1,0
74,1074,2020-17,AMER,SLAM,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,274,EXISTING - MIGRATE,MOBILE,OVERALL,1,0
75,1075,2019-34,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,524,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
76,1076,2012-48,AMER,CAN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,2980,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
77,1077,2014-32,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,2361,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CC,1,1
78,1078,2020-51,EMEA,SSAI,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,40,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
79,1079,2020-28,EMEA,UK,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,202,NEW - FIRST SUBSCRIPTION,DESKTOP,MEDIA ENCODER,1,1
80,1080,2015-50,EMEA,BEN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1870,EXISTING - REACTIVATE,DESKTOP,ILLUSTRATOR,1,1
81,1081,2021-03,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,8,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
82,1082,2019-22,ASIA,IN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,606,NEW - FIRST SUBSCRIPTION,NULL,NULL,1,NULL
83,1083,2020-45,EMEA,UK,COMMERCIAL,E-TAIL/RETAIL,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,81,NEW - RETURN 2 YEARS,DESKTOP,INDESIGN,1,1
84,1084,2018-52,AMER,US,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,760,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
85,1085,2020-46,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,MONTHLY,Direct_Purchase,72,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
86,1086,2017-30,JPN,JPN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1277,EXISTING - REACTIVATE,DESKTOP,PREMIERE PRO,1,1
87,1087,2016-08,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1803,EXISTING - ADDITIONAL,DESKTOP,ACROBAT,1,1
88,1088,2021-03,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,10,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
89,1089,2016-36,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1604,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
90,1090,2020-45,ASIA,SEA,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,83,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CC,1,1
91,1091,2018-52,EMEA,SWI,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 1TB,IN,ANNUAL,Direct_Purchase,761,EXISTING - MIGRATE,DESKTOP,OVERALL,1,1
92,1092,2017-34,EMEA,ITA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Direct_Purchase,1251,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
93,1093,2021-04,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Trial_Purchase,6,EXISTING - ADDITIONAL,DESKTOP,LIGHTROOM CC,1,1
94,1094,2016-09,AMER,US,GOVERNMENT,RESELLER,REGULAR,TEAM,CCT - Single App - InDesign,TM,ANNUAL,Direct_Purchase,1793,NEW - FIRST SUBSCRIPTION,DESKTOP,INDESIGN,1,1
95,1095,2020-37,EMEA,SWI,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,139,NEW - FIRST SUBSCRIPTION,DESKTOP,INDESIGN,1,1
96,1096,2021-01,EMEA,RCIS,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,23,EXISTING - MIGRATE,DESKTOP,PHOTOSHOP,1,1
97,1097,2013-22,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,2793,NEW - FIRST SUBSCRIPTION,DESKTOP,PREMIERE PRO,1,0
98,1098,2021-02,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,18,EXISTING - REACTIVATE,DESKTOP,PHOTOSHOP,1,1
99,1099,2021-01,AMER,US,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,25,NEW - FIRST SUBSCRIPTION,DESKTOP,AUDITION,1,1
102,1102,2021-03,EMEA,ME,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - Single App - Audition,IN,MONTHLY,Direct_Purchase,7,EXISTING - ADDITIONAL,DESKTOP,OVERALL,1,0
103,1103,2018-52,EMEA,SSAI,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,762,NEW - FIRST SUBSCRIPTION,MOBILE,OVERALL,1,0
104,1104,2019-29,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Direct_Purchase,554,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
105,1105,2019-51,ASIA,ANZ,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,403,NEW - FIRST SUBSCRIPTION,MOBILE,ACROBAT READER MOBILE,1,1
106,1106,2018-51,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,767,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
107,1107,2018-43,ASIA,CHN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - Single App - Photoshop,TM,ANNUAL,Direct_Purchase,822,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
108,1108,2018-10,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1053,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
109,1109,2018-10,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1056,NEW - FIRST SUBSCRIPTION,DESKTOP,INDESIGN,1,1
110,1110,2020-25,ASIA,KOR,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,221,EXISTING - ADDITIONAL,DESKTOP,OVERALL,1,1
111,1111,2019-38,EMEA,SSAI,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,495,RESUBSCRIBER - DORMANT,DESKTOP,PHOTOSHOP,1,1
112,1112,2013-04,EMEA,GER,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,2919,NEW - FIRST SUBSCRIPTION,MOBILE,ACROBAT READER MOBILE,1,1
113,1113,2020-08,EMEA,UK,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,340,EXISTING - MIGRATE,DESKTOP,ACROBAT,1,1
114,1114,2020-51,ASIA,ANZ,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,40,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
115,1115,2021-03,AMER,US,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,8,EXISTING - REACTIVATE,DESKTOP,ILLUSTRATOR,1,0
116,1116,2019-18,EMEA,UK,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,632,NEW - FIRST SUBSCRIPTION,DESKTOP,PREMIERE PRO,1,1
117,1117,2020-52,ASIA,IN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Trial_Purchase,30,NEW - FIRST SUBSCRIPTION,MOBILE,ADOBE FRESCO,1,1
118,1118,2019-26,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,577,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
119,1119,2020-40,EMEA,GER,COMMERCIAL,E-TAIL/RETAIL,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,MONTHLY,Direct_Purchase,112,NEW - FIRST SUBSCRIPTION,MOBILE,LIGHTROOM MOBILE,1,1
120,1120,2020-21,AMER,US,COMMERCIAL,E-TAIL/RETAIL,REGULAR,INDIVIDUAL,CCI - All Apps,IN,MONTHLY,Direct_Purchase,247,EXISTING - ADDITIONAL,DESKTOP,PREMIERE PRO,1,1
121,1121,2013-50,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,2601,NEW - FIRST SUBSCRIPTION,DESKTOP,INDESIGN,1,1
123,1123,2014-47,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,2255,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CLASSIC,1,1
124,1124,2020-41,AMER,MEX,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,105,NEW - FIRST SUBSCRIPTION,DESKTOP,BRIDGE,1,1
125,1125,2018-06,AMER,CAN,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1082,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
126,1126,2016-34,EMEA,NORD,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1623,NEW - FIRST SUBSCRIPTION,MOBILE,OVERALL,1,0
127,1127,2020-18,AMER,BRZ,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Trial_Purchase,270,EXISTING - ADDITIONAL,MOBILE,OVERALL,1,1
128,1128,2017-37,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1230,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CLASSIC,1,1
129,1129,2020-22,ASIA,IN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,239,NEW - FIRST SUBSCRIPTION,MOBILE,OVERALL,1,1
130,1130,2020-32,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,171,NEW - FIRST SUBSCRIPTION,MOBILE,ILLUSTRATOR IPAD,1,1
131,1131,2019-31,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,542,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
132,1132,2018-35,AMER,BRZ,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,877,NEW - FIRST SUBSCRIPTION,DESKTOP,INDESIGN,1,1
133,1133,2020-45,EMEA,SWI,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - Single App - InDesign,IN,ANNUAL,Trial_Purchase,81,EXISTING - ADDITIONAL,DESKTOP,OVERALL,1,1
134,1134,2020-47,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,63,EXISTING - REACTIVATE,DESKTOP,ILLUSTRATOR,1,0
135,1135,2018-31,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,905,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
136,1136,2019-35,JPN,JPN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,513,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
138,1138,2018-39,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,851,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
139,1139,2020-07,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,346,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
140,1140,2021-02,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,16,RESUBSCRIBER - RECENT,NULL,NULL,1,NULL
141,1141,2016-30,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1645,NEW - FIRST SUBSCRIPTION,DESKTOP,PREMIERE PRO,1,0
142,1142,2012-38,AMER,CAN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,3048,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
143,1143,2020-40,EMEA,UK,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,114,NEW - RETURN 2 YEARS,DESKTOP,OVERALL,1,1
144,1144,2021-03,AMER,SLAM,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,13,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
145,1145,2017-25,EMEA,ITA,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1309,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
146,1146,2020-43,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - LrCC - 1TB,IN,ANNUAL,Direct_Purchase,95,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CC,1,1
147,1147,2019-22,ASIA,IN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - Single App - Illustrator,IN,ANNUAL,Direct_Purchase,605,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
148,1148,2021-03,ASIA,HKT,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,13,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
149,1149,2020-32,AMER,US,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,171,RESUBSCRIBER - RECENT,DESKTOP,OVERALL,1,1
150,1150,2020-37,ASIA,KOR,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Trial_Purchase,139,NEW - FIRST SUBSCRIPTION,MOBILE,ACROBAT READER MOBILE,1,1
151,1151,2016-17,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Direct_Purchase,1737,NEW - FIRST SUBSCRIPTION,MOBILE,ACROBAT READER MOBILE,1,1
152,1152,2020-51,AMER,CAN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,41,NEW - FIRST SUBSCRIPTION,DESKTOP,INDESIGN,1,1
154,1154,2020-35,AMER,US,EDUCATION,E-TAIL/RETAIL,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,148,EXISTING - ADDITIONAL,MOBILE,LIGHTROOM MOBILE,1,0
155,1155,2015-11,AMER,US,GOVERNMENT,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,2145,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CC,1,0
156,1156,2016-40,AMER,CAN,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1577,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
157,1157,2019-17,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,639,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
158,1158,2017-26,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,1302,EXISTING - ADDITIONAL,DESKTOP,OVERALL,1,1
147,1159,2020-41,ASIA,IN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,110,EXISTING - ADDITIONAL,DESKTOP,OVERALL,1,1
159,1160,2017-40,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1205,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
160,1161,2015-52,ASIA,HKT,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1859,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
161,1162,2020-34,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Trial_Purchase,158,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
162,1163,2020-22,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,240,EXISTING - MIGRATE,DESKTOP,PHOTOSHOP,1,1
163,1164,2020-19,EMEA,GER,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Trial_Purchase,263,NEW - FIRST SUBSCRIPTION,MOBILE,PHOTOSHOP EXPRESS,1,1
164,1165,2019-37,AMER,US,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,500,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
165,1166,2014-42,ASIA,ANZ,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,2292,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,0
166,1167,2017-27,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1296,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
167,1168,2017-12,JPN,JPN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,1403,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
168,1169,2016-42,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1565,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
171,1172,2013-02,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,2935,NEW - FIRST SUBSCRIPTION,DESKTOP,INDESIGN,1,1
172,1173,2016-41,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1572,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,0
173,1174,2018-48,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,787,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
174,1175,2020-28,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - Single App - Premiere Pro,IN,ANNUAL,Direct_Purchase,202,EXISTING - ADDITIONAL,DESKTOP,PREMIERE PRO,1,1
175,1176,2020-46,EMEA,IBE,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,74,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
176,1177,2020-40,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,117,EXISTING - MIGRATE,DESKTOP,ACROBAT,1,1
177,1178,2020-01,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,MONTHLY,Direct_Purchase,386,EXISTING - ADDITIONAL,DESKTOP,OVERALL,1,1
179,1180,2020-21,AMER,US,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Trial_Purchase,249,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,0
180,1181,2020-39,EMEA,UK,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Trial_Purchase,120,EXISTING - ADDITIONAL,DESKTOP,ACROBAT,1,1
181,1182,2020-51,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,36,NEW - FIRST SUBSCRIPTION,DESKTOP,PREMIERE PRO,1,1
182,1183,2018-48,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,786,RESUBSCRIBER - DORMANT,DESKTOP,ILLUSTRATOR,1,1
183,1184,2020-05,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,358,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CLASSIC,1,1
185,1186,2019-44,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,453,NEW - FIRST SUBSCRIPTION,MOBILE,OVERALL,1,1
186,1187,2021-01,AMER,US,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,22,EXISTING - ADDITIONAL,DESKTOP,PHOTOSHOP,1,1
187,1188,2020-52,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,30,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,0
188,1189,2016-07,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,1811,NEW - FIRST SUBSCRIPTION,MOBILE,PHOTOSHOP EXPRESS,1,1
189,1190,2014-01,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,2579,EXISTING - ADDITIONAL,MOBILE,OVERALL,1,1
190,1191,2021-03,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,13,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
191,1192,2017-52,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1121,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
192,1193,2020-32,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,169,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
